"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price"
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";"128";"0";"Intel";"macos";1.0;71379
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";"128";"0";"Intel";"macos";1.0;47896
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";"256";"0";"Intel";"N/A";1.0;30636
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.7;16;"SSD";"512";"0";"AMD";"macos";1.0;135195
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"SSD";"256";"0";"Intel";"macos";1.0;96096
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";"500";"0";"AMD";"windows";2.0;21312
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.2;16;"Flash Storage";"256";"0";"Intel";"macos";2.0;114018
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";"256";"0";"Intel";"macos";1.0;61736
"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";"512";"0";"Nvidia";"windows";1.0;79654
"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Intel";"windows";1.0;41026
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";"500";"0";"Intel";"N/A";1.0;20987
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";"500";"0";"Intel";"N/A";1.0;18381
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.8;16;"SSD";"256";"0";"AMD";"macos";1.0;130002
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";"256";"0";"AMD";"windows";2.0;26581
"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";1.2;8;"SSD";"256";"0";"Intel";"macos";0.0;67261
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";"256";"0";"Intel";"macos";1.0;80908
